LSOA11CD,population
E01012909,1153
E01012910,1204
E01012911,1110
E01012912,1646
E01012913,2003
E01012914,3838
E01012915,1541
E01012916,1766
E01012917,1923
E01012918,1718
E01032595,1840
E01033104,2022
E01033105,1499
E01033107,1268
E01033109,1679
E01035463,2428
E01035464,2613
E01035465,1329
E01035466,1484
E01035467,2153
E01035468,1232
E01035469,2783
E01035470,3144
E01035471,1309
E01035472,1773
E01012919,1382
E01012921,1220
E01012922,1547
E01012923,1995
E01012924,1680
E01012925,1349
E01012926,2478
E01012927,1540
E01012928,1638
E01012929,1857
E01012930,1364
E01012931,1460
E01012932,1715
E01012933,1004
E01012934,2080
E01012935,1343
E01012936,1137
E01012937,2128
E01012939,1880
E01012940,1555
E01012941,1316
E01012942,1242
E01012943,1701
E01012944,1408
E01012945,1520
E01012946,1597
E01012947,1397
E01012948,1421
E01012949,1401
E01012950,1498
E01012951,1217
E01012952,1454
E01012953,1548
E01012954,2096
E01012955,1647
E01012956,1166
E01012957,1372
E01012958,1052
E01012959,1500
E01012960,1666
E01012961,2353
E01012962,1193
E01012963,1498
E01012964,1797
E01012966,1266
E01012967,1656
E01012968,1789
E01012969,1084
E01012970,1849
E01012972,1533
E01012974,1592
E01012975,1769
E01012976,1351
E01012978,1777
E01012979,1781
E01012980,1715
E01012981,1317
E01012982,1484
E01012983,1768
E01012984,1903
E01012985,1782
E01012986,1543
E01012987,1809
E01012988,1585
E01012989,1846
E01012990,1409
E01012991,1688
E01012992,1435
E01012993,1464
E01012994,1879
E01012995,1996
E01012996,1770
E01012997,1977
E01012998,2257
E01012999,1828
E01013000,2234
E01013001,2153
E01013002,1807
E01013003,1522
E01013004,1818
E01013005,2422
E01013006,1488
E01013007,1549
E01013008,1402
E01013009,1669
E01013010,1398
E01013011,1743
E01013012,2166
E01013013,1442
E01013014,1371
E01013015,1761
E01013016,1778
E01013017,2652
E01013018,1880
E01013019,1927
E01013020,1930
E01013021,1401
E01013022,1990
E01013023,1900
E01013024,2004
E01013025,1289
E01013026,1640
E01013027,1793
E01013028,1495
E01013029,1474
E01013030,1366
E01013031,1443
E01013032,1476
E01013033,1559
E01013034,1826
E01013035,1478
E01013036,1403
E01013037,1374
E01013038,1481
E01013039,3197
E01013040,2388
E01013041,1675
E01013042,1697
E01013043,1472
E01013044,2095
E01013045,1557
E01013046,1590
E01013047,1519
E01013048,2359
E01013049,1618
E01013050,1830
E01013051,1674
E01013053,2288
E01013054,1987
E01013055,1945
E01013056,1616
E01013057,1650
E01013058,1615
E01013059,1629
E01013060,2479
E01013061,1520
E01013062,1642
E01013063,1413
E01013064,1336
E01013065,1612
E01013066,1548
E01013067,1633
E01013068,2294
E01013069,1580
E01013070,1393
E01013071,1569
E01013072,1770
E01013073,1837
